state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date
Maryland,"Loweâs Companies, Inc.","1000 Loweâs Blvd.  Mooresville, NC  28117",02/17/2026,,,Mass Layoff - No Recall,,444110,Statewide,5 (Remote workers in MD),04/19/2026 - 05/01/2026
Maryland,T. Rowe Price,"1307 Point Street  Baltimore, MD 21231",02/12/2026,,,Mass Layoff - No Recall,,523940,Baltimore City,54,02/06/2026
Maryland,Savage  Infrastructure  LLC,"354 Table Rock  Road  Oakland, MD  21550",02/09/2026,,,Plant Closure,,484110,Western Maryland,72,04/07/2026 - 04/21/2026
Maryland,"LifeBridge Suburban Staffing, LLC","2850 N. Ridge Road  Ellicott City, MD",02/06/2026,,,"Plant Closure  Note: Work performed at Ellicott City Ambulatory Surgery Center, L.L.L.P)",,561311,Howard County,23,03/07/2026- 04/06/2026
Maryland,"NFI Interactive Technologies, LLC (NFI)","81 Belvedere Road Perryville, MD 21903",02/04/2026,,,Plant Closure,,484121,Susquehanna,40,03/30/2026
Maryland,"HGS CX Technologies, Inc. f/k/a HGS USA","12120 Rojas Drive El Paso, Texas",02/04/2026,,,Mass Layoff - No Recall,,561499,Statewide,92,03/31/2026 -04/14/2026
Maryland,"Charles River  Laboratories,  Inc.",3600 Cabover  Drive  Hanover MD  21076,02/02/2026,,,Plant Closure,,541715,Anne Arundel County,20,03/23/2026
Maryland,"MUFG Investor  Services (US),  LLC (MUIS)","805 King Farm  Boulevard, Suite  600  Rockville,MD  20850",01/30/2026,,,Mass Layoff - No  Recall,,523920,Montgomery County,86,03/31/2026 -  06/30/2025
Maryland,Saks & Company LLC,"22705 Clarksburg Road  Clarksburg, MD 20871",01/29/2026,,,Plant Closure,,458110,Montgomery County,15,04/30/2026
Maryland,Saks & Company LLC,"7000 Arundel Mills Circle  Hanover, MD 21076",01/29/2026,,,Plant Closure,,458110,Anne Arundel County,16,04/30/2026
Maryland,Amazon - MAF1 facility,"5463 Wisconsin Ave.  Chevy Chase, MD 20815",01/28/2026,,,Plant Closure,,454110,Montgomery County,129,04/28/2026
Maryland,Amazon - MAG5 facility,"8525 Chevy Chase Lake Terrace  Chevy Chase, MD 20815",01/28/2026,,,Plant Closure,,454110,Montgomery County,118,04/28/2026
Maryland,Amazon - MAH5 facility,"15790 Shady Grove Road  Gaithersburg, MD  20877",01/28/2026,,,Plant Closure,,454110,Montgomery County,155,04/28/2026
Maryland,Amazon - MAT8 facility,"6711 Ritchie Highway  Glen Burnie, MD  21061",01/28/2026,,,Plant Closure,,454110,Anne Arundel County,156,04/28/2026
Maryland,Amazon - MAV2 facility,"12263 Prosperity Drive  Silver Spring, MD 20904",01/28/2026,,,Plant Closure,,454110,Montgomery County,184,04/28/2026
Maryland,Weis Store #291,"15300 McMullen  Highway  Cumberland, MD  21502",01/15/2026,,,Plant Closure,,445110,Western Maryland,52,03/16/2026
Maryland,Home Depot  Design Center,"12087 Rockville  Pike  Rockville, MD  20852",01/14/2026,,,Plant Closure,,444110,Montgomery  County,85,03/14/2026
Maryland,Peraton,"6201 Security  Blvd  Woodlawn, MD  21207",01/14/2026,,,Mass Layoff - No Recall,,518210,Baltimore  County,35,02/28/2026
Maryland,"BAE Systems,  Inc.","306 Sentinel  Drive, Suite 500,  Annapolis  Junction, MD  20701",1/2/2026,,,Mass Layoff - No Recall,,541512,Anne Arundel  County,55,03/02/2026 -  04/02/2026
